url,content_type,text_file,char_count,hash
https://sosv.com/carv-is-the-fitbit-for-your-ski-boot/,post,txt/post__carv-is-the-fitbit-for-your-ski-boot.txt,994,7485acf3af222364072ca802a227ca49bbeb5eb034df3ffe80c8ddf39fce8202
https://sosv.com/novoloop-is-upcycling-your-future/,post,txt/post__novoloop-is-upcycling-your-future.txt,7447,2d9a903f1e3e41e5863a8515daa8258ed13e4129b442c7d85f7b1bd735a3aacc
https://sosv.com/catch-four-hax-founders-discussing-their-robotics-startups-at-techcrunchs-robotics-event-last-week/,post,txt/post__catch-four-hax-founders-discussing-their-robotics-startups-at-techcrunchs-robotics-event-last-week.txt,892,470f634518ecccec172673c4279b8e126fb0e6740e87d744c2cc1dbc8ff5a942
https://sosv.com/how-x-breakthrough-energy-and-princetons-zero-lab-see-the-impact-of-the-bidens-inflation-reduction-act/,post,txt/post__how-x-breakthrough-energy-and-princetons-zero-lab-see-the-impact-of-the-bidens-inflation-reduction-act.txt,3881,ae8e9b2d74cc8051cf98106b75b24cb375b3f5789ec41aed663fe040c9f7b950
https://sosv.com/haxs-butlr-raises-20m-to-develop-privacy-centric-occupancy-sensors/,post,txt/post__haxs-butlr-raises-20m-to-develop-privacy-centric-occupancy-sensors.txt,1339,1452e42ef6a80db7b5d03166dcb0361d184a12d4201325456c31e5e1cb21cac6
https://sosv.com/mits-dr-yet-ming-chiang-to-speak-at-the-sosv-climate-tech-summit/,post,txt/post__mits-dr-yet-ming-chiang-to-speak-at-the-sosv-climate-tech-summit.txt,1838,26e6ee3ad33d5ba91373db4338d8502648243614a07ac187eb90413e52e11961
https://sosv.com/a-year-in-hax-in-newark-is-in-full-swing-with-ten-companies-and-its-first-funding-announcement/,post,txt/post__a-year-in-hax-in-newark-is-in-full-swing-with-ten-companies-and-its-first-funding-announcement.txt,6099,1abce9426cd0282af39d1b888604b9dcdf45e90b20a93802279e3f6cb7d6f740
https://sosv.com/upside-foods-serves-up-a-sustainable-future/,post,txt/post__upside-foods-serves-up-a-sustainable-future.txt,5795,91a27f014a65078a57169c3f40018b18293a6edc3fd5cd4d671ab81dac9bf429
https://sosv.com/haxs-r-zero-raises-105-million-series-c-to-improve-indoor-air-quality-for-millions/,post,txt/post__haxs-r-zero-raises-105-million-series-c-to-improve-indoor-air-quality-for-millions.txt,1619,3168c3332edcb55779883d1f96f3011cfcf322802bc4dec1ec93de05fda2b8a1
https://sosv.com/pitchbook-ranks-sosv-as-1-investor-in-carbon-emissions-tech/,post,txt/post__pitchbook-ranks-sosv-as-1-investor-in-carbon-emissions-tech.txt,751,34aeed087742eab650d180eede86d5a7a0013257095e853dffe1a37b758ffb5f
https://sosv.com/haxs-lexxpluss-raises-10-7m-to-bring-its-autonomous-mobile-robots-to-the-us/,post,txt/post__haxs-lexxpluss-raises-10-7m-to-bring-its-autonomous-mobile-robots-to-the-us.txt,1386,fcf1c48653f8dcae9cdfdbdd119e63eec5dd22abfaed3e3107b9cc26066d368d
https://sosv.com/windfall-bio-secures-9m-to-put-methane-eating-microbes-to-work-combatting-climate-change/,post,txt/post__windfall-bio-secures-9m-to-put-methane-eating-microbes-to-work-combatting-climate-change.txt,1251,04aad7118862ad74580d8c196f579bccba917d1b5423c50638ab41cf876c901e
https://sosv.com/haxs-green-li-ion-raises-20-5m-to-ramp-up-deployment-of-its-battery-recycling-machines/,post,txt/post__haxs-green-li-ion-raises-20-5m-to-ramp-up-deployment-of-its-battery-recycling-machines.txt,1880,18ac0eb02286967b36fb568663bfb3eb013a7896106646a57a209b09c0dee27b
https://sosv.com/smartex-is-creating-the-textile-factory-of-the-future/,post,txt/post__smartex-is-creating-the-textile-factory-of-the-future.txt,8476,9b4e6060757a6f77c8f46401cae121f7bbcb4c1e282bd753ad2c959b5fc9a4dc
https://sosv.com/sosv-gp-indiebio-cto-pae-wu-shares-tips-on-how-to-turn-research-into-a-business/,post,txt/post__sosv-gp-indiebio-cto-pae-wu-shares-tips-on-how-to-turn-research-into-a-business.txt,2668,2cb01fb974c57ea8f22c28b60831d30ba033cbeb1815b287e87a7f969c738fcf
https://sosv.com/shake-shack-rolls-out-plant-based-shakes-made-with-notcos-ai-designed-notmilk/,post,txt/post__shake-shack-rolls-out-plant-based-shakes-made-with-notcos-ai-designed-notmilk.txt,898,9c90f5dc4bca850b090c32b21edadb8e37be6ad73d1a919ca506e0a60441e57f
https://sosv.com/prime-roots-raises-30m-to-bring-its-fungi-based-deli-meats-to-deli-counters-across-the-us/,post,txt/post__prime-roots-raises-30m-to-bring-its-fungi-based-deli-meats-to-deli-counters-across-the-us.txt,2887,874aa86086299f531b1016d04eda1d52de2e68870baea4aeb62a4ace5983805d
https://sosv.com/unspun-unveils-3d-weaving-technology-vega-to-reduce-waste-in-fashion/,post,txt/post__unspun-unveils-3d-weaving-technology-vega-to-reduce-waste-in-fashion.txt,1495,e0d977419e713f990cc7c07897ab8cc9f651909bbae77cf15bebf1afe44f99f8
https://sosv.com/upside-foods-becomes-the-first-to-receive-regulatory-approval-to-sell-lab-grown-meat-in-the-us/,post,txt/post__upside-foods-becomes-the-first-to-receive-regulatory-approval-to-sell-lab-grown-meat-in-the-us.txt,1436,4790eb776e8a83f8f37621ada0a18fad096916cee9cf99faa0ad91a5ead6c072
https://sosv.com/the-cost-conundrum-how-to-scale-carbon-removal-with-heirloom-carbon-technologies-charm-industrial-and-verdox/,post,txt/post__the-cost-conundrum-how-to-scale-carbon-removal-with-heirloom-carbon-technologies-charm-industrial-and-verdox.txt,4899,2e35e40686ec6c5c7350892d5b49ee6bd41faaef9256963d86900ed3e1b97670
https://sosv.com/prolific-machines-has-the-key-to-affordable-mass-market-cultured-meat/,post,txt/post__prolific-machines-has-the-key-to-affordable-mass-market-cultured-meat.txt,10712,f5a065ca79e79d66a5b168808f2ff5069b4996f47fcfe7da6ebb04217796a28e
https://sosv.com/haxs-youibot-robots-star-in-chinese-sci-fi-blockbuster-wandering-earth-ii/,post,txt/post__haxs-youibot-robots-star-in-chinese-sci-fi-blockbuster-wandering-earth-ii.txt,2140,15fa509a9294c611d6692227b6c02baf542dcf7df32e4d93bd150887f5eb6177
